"file","class","strategy","score","code_quality","has_sl","has_tp","has_trailing","has_grid","has_martingale","has_equity_stop","has_time_filter","has_money_mgmt","indicators","timeframe","function_count","obfuscated_count"
"EA Phoenix 2021_edited.mq4","B","Scalping","52","clean","True","True","True","False","False","False","False","False","","Any","7","0"
"EA Predator Pips.mq4","B","GridMartingale","49","clean","True","True","True","False","True","False","True","False","MA","Any","0","0"
"EA Profit V10.mq4","B","Scalping","61","clean","True","True","True","False","False","False","False","True","MA, RSI","H4","5","2"
"EA Pyramid 7.mq4","B","MeanReversal","52","clean","True","True","True","True","False","False","False","True","RSI, Bollinger","Any","0","0"
"EA RoboFibo v.11.2.mq4","B","GridMartingale","61","clean","True","True","True","True","False","False","False","False","MA, RSI","H1","8","0"
"EA Sarapan-Pagi_2.mq4","B","MeanReversal","50","clean","True","True","False","False","True","False","False","False","MA, RSI, Stochastic","Any","3","0"
"Ea Scalper FX Finish_.mq4","C","GridMartingale","26","obfuscated","True","False","True","True","True","True","False","False","","Any","3","29"
"EA SCALPERAUTOPILOT.mq4","B","Scalping","55","clean","True","True","True","False","False","False","False","True","MA, RSI","Any","0","0"
"EA Scalping Asia.mq4","B","Scalping","51","clean","True","True","True","False","False","False","False","False","Pivot","Any","1","0"
"EA Smart Neural V1.mq4","B","GridMartingale","49","clean","True","True","False","False","True","False","True","False","MA","Any","7","0"
"EA SPARTAN BOLT_.mq4","B","GridMartingale","58","clean","True","True","True","True","False","False","False","True","MA","Any","0","0"
"EA-2MACrossover_v1-0.mq4","B","Trend","52","clean","True","True","False","False","False","False","False","False","MA, RSI","Any","4","0"
"EA-HOKKYDJONG.mq4","C","Unknown","5","obfuscated","True","True","False","False","False","False","False","False","","Any","3","37"
"Ea-Tesshinso.mq4","B","Scalping","54","clean","True","True","True","False","False","False","False","False","RSI","Any","6","0"
"EasyRobot.mq4","B","Scalping","55","clean","True","True","True","False","False","False","False","True","RSI","Any","3","0"
"EA_Close_All_v5.mq4","C","MeanReversal","31","clean","False","False","False","False","False","False","False","False","RSI","Any","5","0"
"EA_eurusd m15.mq4","C","MeanReversal","31","clean","False","False","False","False","False","False","False","False","Stochastic","Any","4","0"
"EA_LUCRE.mq4","C","Unknown","5","obfuscated","True","True","False","False","False","False","False","False","","Any","3","34"
"EA_TheOne.mq4","C","Scalping","29","obfuscated","True","True","True","False","False","False","False","True","RSI","Any","1","27"
"Elite_eFibo_Trader_v2_1.mq4","C","Breakout","47","clean","True","True","False","False","False","False","False","False","","Any","3","0"
"engulfing EA.mq4","B","MeanReversal","49","clean","True","True","False","False","False","False","False","False","RSI","Any","3","0"
"EquityGuard1.2c.mq4","C","Trend","34","clean","False","False","False","False","False","False","False","False","MA","Any","3","0"
"Fast Scalper.mq4","C","GridMartingale","43","clean","True","False","True","True","False","False","False","False","RSI","Any","3","0"
"FEDTM Billioner.mq4","B","Scalping","48","clean","True","True","True","False","False","False","False","False","RSI","Any","1","0"
"FFCal Panel (Black).mq4","C","Trend","34","clean","False","True","False","False","False","False","False","False","MA","Any","0","0"
"FFCal.mq4","C","MeanReversal","33","clean","False","True","False","False","False","False","False","False","RSI","Any","1","0"
"FiboPivotandRSI.mq4","B","Scalping","53","clean","True","True","True","False","False","False","False","False","RSI, Pivot","Any","3","0"
"Find Data Holes.mq4","C","Unknown","19","clean","False","True","False","False","False","False","False","False","","Any","1","0"
"Firebird MC v058.mq4","B","GridMartingale","48","clean","True","True","True","True","False","False","False","False","MA, Donchian","Any","1","0"
"Firebird MC v0581.mq4","B","GridMartingale","48","clean","True","True","True","True","False","False","False","False","MA, Donchian","Any","1","0"
"Firebird MC v0582.mq4","B","GridMartingale","48","clean","True","True","True","True","False","False","False","False","MA, Donchian","Any","1","0"
"Firebird MC v0583.mq4","B","GridMartingale","48","clean","True","True","True","True","False","False","False","False","MA, Donchian","Any","1","0"
"Firebird v0.50(26JUL05).mq4","C","GridMartingale","46","clean","True","True","True","True","False","False","False","False","MA","Any","1","0"
"Firebird v0.50.mq4","C","GridMartingale","46","clean","True","True","True","True","False","False","False","False","MA","Any","1","0"
"Firebird v0.51.mq4","C","GridMartingale","46","clean","True","True","True","True","False","False","False","False","MA, Pivot","Any","1","0"
"Firebird v0.55.mq4","B","GridMartingale","48","clean","True","True","True","True","False","False","False","False","MA","Any","1","0"
"Firebird v0.57.mq4","B","GridMartingale","48","clean","True","True","True","True","False","False","False","False","MA, Donchian","Any","1","0"
"Firebird v0.63.mq4","B","GridMartingale","48","clean","True","True","True","True","False","False","False","False","MA, Donchian","Any","1","0"
"Firebird v0.64.mq4","B","GridMartingale","48","clean","True","True","True","True","False","False","False","False","MA, Donchian","Any","1","0"
"Firebird v0.65.mq4","B","GridMartingale","48","clean","True","True","True","True","False","False","False","False","MA, Donchian","Any","1","0"
"Firebird v01.57.mq4","B","GridMartingale","48","clean","True","True","True","True","False","False","False","False","MA, Donchian","Any","1","0"
"Firebird v060.mq4","B","GridMartingale","48","clean","True","True","True","True","False","False","False","False","MA, Donchian","Any","1","0"
"Firebird v065tf.mq4","B","GridMartingale","51","clean","True","True","True","True","False","False","True","False","MA, Donchian","Any","1","0"
"Firebird v0_58_JD.mq4","B","GridMartingale","48","clean","True","True","True","True","False","False","False","False","MA, Donchian","Any","1","0"
"Firebird v0_58_symbol_fix.mq4","B","GridMartingale","48","clean","True","True","True","True","False","False","False","False","MA, Donchian","Any","1","0"
"Firebird v63 TVD1.mq4","B","GridMartingale","50","clean","True","True","False","True","False","False","False","False","MA, Donchian","Any","2","0"
"Firebird v63 TVD2.mq4","B","GridMartingale","50","clean","True","True","False","True","False","False","False","False","MA, Donchian","Any","2","0"
"Firebird v63B1.mq4","B","GridMartingale","48","clean","True","True","True","True","False","False","False","False","MA, Donchian","Any","1","0"
"Firebird v63D1.mq4","B","GridMartingale","54","clean","True","True","True","True","False","False","False","False","MA, Donchian","Any","2","0"
"Firebird_v0_60_deaz1.mq4","B","GridMartingale","48","clean","True","True","True","True","False","False","False","False","MA, Donchian","Any","1","0"
"Firestats v0.5.mq4","C","Trend","34","clean","False","True","False","False","False","False","False","False","MA","Any","1","0"
"FlyBot EA 2.0.mq4","C","Scalping","34","clean","False","False","False","False","False","False","False","False","RSI","Any","3","0"
"Forex Fireball by Forex Robot Nation~.mq4","C","Unknown","9","obfuscated","True","True","False","False","False","False","False","True","","H1","0","50"
"Forex hacked Pro~.mq4","C","Scalping","26","obfuscated","True","True","True","False","False","False","False","False","MA","M1","0","45"
"Forex PiP Killer .mq4","C","Unknown","14","clean","False","False","False","False","False","False","False","False","","Any","0","0"
"Forex Robotron v1.3_fix_x.mq4","B","MeanReversal","56","clean","True","True","False","False","False","False","True","True","RSI","M1","1","1"
"Forex WINNER EA (FULL2019).mq4","A","GridMartingale","65","clean","True","True","True","True","True","True","True","False","MA, RSI","M1","3","0"
"Forex-Gold-Trader-V.2.0.mq4","C","Unknown","22","clean","False","True","False","False","False","False","False","False","","H1","2","0"
"forex50pips.mq4","C","Trend","37","clean","False","True","False","False","False","False","False","False","MA","Any","4","0"
"ForexMission.mq4","C","Trend","30","obfuscated","True","True","True","True","False","True","False","False","MA, MACD","Any","0","18"
"FoZo System.mq4","C","MeanReversal","32","clean","False","False","False","False","False","False","False","False","RSI","Any","6","0"
"Fracture-7.4.0.mq4","C","Trend","40","clean","False","False","False","False","False","False","False","False","MA, ADX, Fractals","Any","4","0"
"FreeScalper.mq4","B","Scalping","51","clean","True","True","True","False","False","False","False","False","RSI","Any","4","0"
"fx street 2.mq4","C","MeanReversal","31","clean","False","False","False","False","False","False","False","False","RSI","Any","3","0"
"FX87 code.mq4","B","Scalping","60","clean","True","True","True","False","False","False","False","False","RSI","Any","6","0"
"FXCore100.mq4","C","MeanReversal","36","clean","False","True","False","False","False","False","False","False","RSI, Stochastic","Any","1","0"
"FXMIND SCALPANDO H1 STANDARD 300$.mq4","C","GridMartingale","32","obfuscated","True","True","True","True","True","True","False","True","RSI","H1","0","38"
"FXMIND SCALPANDO H1 STANDARD.mq4","C","GridMartingale","32","obfuscated","True","True","True","True","True","True","False","True","RSI","H1","0","38"
"GEBA ROBOT.mq4","B","Trend","54","clean","True","True","False","False","False","False","False","False","MA, ADX, RSI","Any","6","0"
"GEBA ROBOT2.mq4","B","Trend","54","clean","True","True","False","False","False","False","False","False","MA, ADX, RSI","Any","6","0"
"Generic v13.20.mq4","B","MeanReversal","52","clean","True","True","True","False","True","False","False","False","MA, RSI, CCI, Bollinger, Donchian","M5","0","0"
"GOLD SMART EA 1.mq4","C","Trend","37","clean","False","True","False","False","False","False","False","False","MA","Any","4","0"
"Gold.mq4","C","MeanReversal","47","clean","True","True","False","False","False","False","False","False","RSI","Any","5","0"
"Golden Owl source code.mq4","C","GridMartingale","31","clean","False","True","False","True","True","False","True","False","MA, RSI","Any","0","0"
"Good good.mq4","C","GridMartingale","15","obfuscated","True","True","True","False","True","False","False","False","Stochastic","Any","1","13"
"GoWithFlow.mq4","B","GridMartingale","52","clean","True","True","True","True","True","False","True","False","MA","Any","3","0"
"GPSForexRobotEURGBP_edu.mq4","C","Trend","40","clean","False","True","False","False","False","False","False","True","MA","Any","2","0"
"GPSForexRobotEURUSD_edu.mq4","C","Trend","40","clean","False","True","False","False","False","False","False","True","MA","Any","2","0"
"GPSForexRobotUSDCHF_edu.mq4","C","Trend","40","clean","False","True","False","False","False","False","False","True","MA","Any","2","0"
"Grail.mq4","C","MeanReversal","47","clean","True","True","False","False","False","False","False","False","RSI","Any","5","0"
"Grid_Template.mq4","B","GridMartingale","52","clean","True","True","True","True","False","False","False","True","RSI","Any","5","0"
"H4_BreakOut_Cycle_V1a.mq4","C","MeanReversal","44","clean","True","True","False","False","False","False","False","False","RSI","Any","1","0"
"Hide Trendline Script.mq4","C","Unknown","14","clean","False","False","False","False","False","False","False","False","","Any","2","0"
"high profit EA.mq4","B","GridMartingale","57","clean","True","True","True","True","False","False","True","True","MA","Any","0","0"
"ichi_scalper_allpairs_v52.mq4","C","Trend","33","clean","False","False","False","False","False","False","False","True","MA","Any","0","0"
"iCustom-EA-V3.15.mq4","B","GridMartingale","58","clean","True","True","True","False","True","False","False","True","MA, RSI","Any","0","0"
"iCustom_EA1.mq4","C","GridMartingale","46","clean","True","True","False","False","True","False","False","False","RSI","Any","4","0"
"icwr.6.mq4","C","MeanReversal","47","clean","True","True","False","False","False","False","False","False","RSI","Any","3","0"
"icwr.7.mq4","C","MeanReversal","47","clean","True","True","False","False","False","False","False","False","RSI","Any","3","0"
"icwr.8.mq4","C","MeanReversal","47","clean","True","True","False","False","False","False","False","False","RSI","Any","3","0"
"icwr.9.mq4","C","MeanReversal","47","clean","True","True","False","False","False","False","False","False","RSI","Any","3","0"
"icwr.mq4","C","MeanReversal","47","clean","True","True","False","False","False","False","False","False","RSI","Any","3","0"
"icwr1.12.mq4","B","Trend","50","clean","True","True","False","False","False","False","False","False","MA, RSI","Any","3","0"
"icwr1.12Bx.mq4","B","Trend","50","clean","True","True","False","False","False","False","False","False","MA, RSI","Any","3","0"
"icwr1.13x.mq4","B","Trend","50","clean","True","True","False","False","False","False","False","False","MA, RSI","Any","3","0"
"icwr1.17.mq4","B","Trend","53","clean","True","True","False","False","False","False","False","False","MA, ADX, RSI","Any","3","0"
"icwr1.19.mq4","B","Trend","53","clean","True","True","False","False","False","False","False","False","MA, ADX, RSI","Any","3","0"
"icwr1.20.mq4","B","Trend","53","clean","True","True","False","False","False","False","False","False","MA, ADX, RSI","Any","3","0"
"icwr1.5.mq4","C","MeanReversal","47","clean","True","True","False","False","False","False","False","False","RSI","Any","3","0"
"icwr1.mq4","C","MeanReversal","47","clean","True","True","False","False","False","False","False","False","RSI","Any","3","0"
"icwr19.mq4","B","Trend","53","clean","True","True","False","False","False","False","False","False","MA, ADX, RSI","Any","3","0"
